Feedstock_Type,Temperature_C,Yield_Perc,Carbon_perc,Carbon_amount,Carbon_biomass,Carbon_Rec
Herbaceous,200.00,54.20,NA,NA,45,NA
Herbaceous,250.00,45.00,NA,NA,45,NA
Herbaceous,300.00,41.00,NA,NA,45,NA
Herbaceous,400.00,17.20,NA,NA,45,NA
Herbaceous,500.00,10.70,NA,NA,45,NA
Herbaceous,200.00,43.00,NA,NA,45,NA
Herbaceous,250.00,32.10,NA,NA,45,NA
Herbaceous,300.00,24.60,NA,NA,45,NA
Herbaceous,400.00,12.10,NA,NA,45,NA
Herbaceous,500.00,8.70,NA,NA,45,NA
Herbaceous,200.00,35.00,NA,NA,45,NA
Herbaceous,250.00,23.00,NA,NA,45,NA
Herbaceous,300.00,17.60,NA,NA,45,NA
Herbaceous,400.00,8.70,NA,NA,45,NA
Herbaceous,500.00,7.99,NA,NA,45,NA
Herbaceous,200.00,22.80,NA,NA,45,NA
Herbaceous,250.00,14.20,NA,NA,45,NA
Herbaceous,300.00,12.30,NA,NA,45,NA
Herbaceous,400.00,6.70,NA,NA,45,NA
Herbaceous,500.00,8.10,NA,NA,45,NA
Herbaceous,900.00,27.90,79.86,22.28,45,49.51
Herbaceous,300.00,NA,68.81,NA,45,NA
Herbaceous,300.00,36.91,68.27,25.20,45,56.00
Herbaceous,700.00,32.20,52.41,16.88,45,37.50
Animal and human waste,620.00,NA,41.50,NA,45,NA
Animal and human waste,700.00,39.90,44.77,17.86,45,39.70
Animal and human waste,620.00,NA,50.70,NA,45,NA
Animal and human waste,700.00,36.40,44.06,16.04,45,35.64
Animal and human waste,700.00,36.70,45.91,16.85,45,37.44
Woody biomass,300.00,36.80,77.00,28.34,45,62.97
Woody biomass,500.00,28.90,87.50,25.29,45,56.19
Woody biomass,650.00,25.40,91.00,23.11,45,51.36
Woody biomass,800.00,24.20,90.00,21.78,45,48.40
Animal and human waste,350.00,62.30,51.51,32.09,45,71.31
Animal and human waste,700.00,36.40,44.06,16.04,45,35.64
Animal and human waste,350.00,54.300,51.07,27.73,45,61.62
Animal and human waste,700.00,36.70,45.91,16.85,45,37.44
Herbaceous,350.00,51.10,53.32,27.25,45,60.55
Herbaceous,700.00,32.20,52.41,16.88,45,37.50
Animal and human waste,350.00,58.10,49.28,28.63,45,63.63
Animal and human waste,700.00,39.90,44.77,17.86,45,39.70
Herbaceous,300.00,37.03,68.81,25.48,45,56.62
Herbaceous,700.00,21.59,81.98,17.70,45,39.33
Herbaceous,300.00,36.91,68.27,25.20,45,56.00
Herbaceous,700.00,21.89,83.76,18.34,45,40.74
Herbaceous,400.00,36.80,58.40,21.49,45,47.76
Herbaceous,500.00,31.50,64.50,20.32,45,45.15
Herbaceous,600.00,25.80,71.90,18.55,45,41.22
Herbaceous,700.00,25.80,74.40,19.20,45,42.66
Herbaceous,200.00,78.24,46.52,36.40,45,80.88
Herbaceous,400.00,36.65,57.92,21.23,45,47.17
Herbaceous,600.00,30.89,60.80,18.78,45,41.74
Herbaceous,500.00,38.59,68.69,26.51,45,58.91
Herbaceous,700.00,29.77,67.30,20.04,45,44.52
Herbaceous,200.00,88.30,NA,NA,45,NA
Herbaceous,250.00,69.10,NA,NA,45,NA
Herbaceous,300.00,46.00,NA,NA,45,NA
Herbaceous,400.00,41.50,NA,NA,45,NA
Herbaceous,450.00,36.90,NA,NA,45,NA
Herbaceous,500.00,34.00,NA,NA,45,NA
Herbaceous,600.00,32.70,NA,NA,45,NA
Herbaceous,700.00,30.70,NA,NA,45,NA
Herbaceous,200.00,85.80,NA,NA,45,NA
Herbaceous,300.00,50.50,NA,NA,45,NA
Herbaceous,400.00,39.20,NA,NA,45,NA
Herbaceous,500.00,35.30,NA,NA,45,NA
Herbaceous,600.00,34.20,NA,NA,45,NA
Herbaceous,700.00,30.40,NA,NA,45,NA
Herbaceous,800.00,15.30,NA,NA,45,NA
Herbaceous,300.00,NA,44.99,NA,45,NA
Herbaceous,NA,NA,44.90,NA,45,NA
Herbaceous,NA,NA,61.02,NA,45,NA
Herbaceous,NA,NA,56.61,NA,45,NA
Herbaceous,NA,NA,51.30,NA,45,NA
Herbaceous,NA,NA,46.90,NA,45,NA
Herbaceous,NA,NA,63.27,NA,45,NA
Herbaceous,NA,NA,72.10,NA,45,NA
Herbaceous,NA,NA,66.84,NA,45,NA
Herbaceous,NA,NA,51.30,NA,45,NA
Herbaceous,NA,NA,61.60,NA,45,NA
Herbaceous,NA,NA,69.60,NA,45,NA
Herbaceous,NA,NA,70.38,NA,45,NA
Herbaceous,NA,NA,63.50,NA,45,NA
Herbaceous,NA,NA,29.50,NA,45,NA
Herbaceous,NA,NA,41.60,NA,45,NA
Herbaceous,NA,NA,55.60,NA,45,NA
Woody biomass,NA,NA,83.20,NA,45,NA
Woody biomass,NA,NA,62.61,NA,45,NA
Woody biomass,NA,NA,63.19,NA,45,NA
Woody biomass,NA,NA,83.20,NA,45,NA
Herbaceous,NA,NA,69.10,NA,45,NA
Herbaceous,NA,NA,57.52,NA,45,NA
Herbaceous,NA,NA,45.20,NA,45,NA
Herbaceous,NA,NA,47.46,NA,45,NA
Herbaceous,NA,NA,54.86,NA,45,NA
Woody biomass,NA,NA,70.65,NA,45,NA
Woody biomass,NA,NA,85.60,NA,45,NA
Woody biomass,NA,NA,81.13,NA,45,NA
Woody biomass,NA,NA,70.65,NA,45,NA
Woody biomass,NA,NA,76.45,NA,45,NA
Woody biomass,NA,NA,37.50,NA,45,NA
Herbaceous,NA,NA,71.34,NA,45,NA
Biosolid Sludge,NA,NA,41.38,NA,45,NA
Herbaceous,600.00,16.10,NA,NA,45,NA
Herbaceous,600.00,7.50,NA,NA,45,NA
Woody biomass,600.00,15.50,NA,NA,45,NA
Woody biomass,600.00,12.20,NA,NA,45,NA
