Tratamiento ,Planta ,Diámetro,Altura,Brotes,Hojas,Semana
Testigo,1,0.5,15,,2,1
Testigo,2,0.4,9,,2,1
Testigo,3,0.8,25,2,8,1
Testigo,4,0.6,10,,4,1
Testigo,5,0.5,15,,4,1
Testigo,6,0.7,20,,7,1
Testigo,7,0.5,7,,2,1
Testigo,1,0.7,19,,6,1
Testigo,2,0.4,7,,4,1
Testigo,3,0.4,8.8,1,3,1
Testigo,4,0.4,9,,2,1
Testigo,5,0.3,6,,2,1
Testigo,6,0.6,16,2,6,1
Testigo,7,0.3,3,1,6,1
Testigo,8,0.4,5,1,1,1
Testigo,9,0.4,5,,1,1
Testigo,10,0.3,5,,2,1
Testigo,11,0.4,9,,1,1
Biocarbon,1,0.5,9,2,3,1
Biocarbon,2,0.4,7,,0,1
Biocarbon,3,0.5,15,,4,1
Biocarbon,4,0.7,24,2,8,1
Biocarbon,5,0.3,5.5,1,2,1
Biocarbon,6,0.5,11,,1,1
Biocarbon,1,0.7,6,,0,1
Biocarbon,2,0.5,9,0,3,1
Biocarbon,3,0.5,6,,2,1
Biocarbon,4,0.8,36,3,9,1
Biocarbon,5,0.4,6,,2,1
Biocarbon,6,0.4,5,,2,1
Biocarbon,7,0.5,13,,4,1
Biocarbon,8,0.6,8.5,,2,1
Biocarbon,9,0.5,5.5,,3,1
Testigo,1,0.5,15,,4,2
Testigo,2,0.45,12,,2,2
Testigo,3,1,26,2,10,2
Testigo,4,0.5,16,,4,2
Testigo,5,0.7,24.5,2,9,2
Testigo,6,0.6,11,,2,2
Testigo,1,0.7,31,,9,2
Testigo,2,0.5,9,,6,2
Testigo,3,0.5,9.5,1,5,2
Testigo,4,0.6,10,,2,2
Testigo,5,0.4,6,,1,2
Testigo,6,0.6,19,2,8,2
Testigo,7,0.3,3,1,2,2
Testigo,8,0.5,5.5,1,3,2
Testigo,9,0.6,8,,3,2
Testigo,10,0.5,7.5,,3,2
Testigo,11,0.5,10,,2,2
Biocarbon,1,0.5,10,2,6,2
