Tratamiento ,Planta ,Diámetro,Altura,Brotes,Hojas,Semana
TTC,1,0.5,15,,2,1
TTC,2,0.4,9,,2,1
TTC,3,0.8,25,2,8,1
TTC,4,0.6,10,,4,1
TTC,5,0.5,15,,4,1
TTC,6,0.7,20,,7,1
TTC,7,0.5,7,,2,1
TTV,1,0.7,19,,6,1
TTV,2,0.4,7,,4,1
TTV,3,0.4,8.8,1,3,1
TTV,4,0.4,9,,2,1
TTV,5,0.3,6,,2,1
TTV,6,0.6,16,2,6,1
TTV,7,0.3,3,1,6,1
TTV,8,0.4,5,1,1,1
TTV,9,0.4,5,,1,1
TTV,10,0.3,5,,2,1
TTV,11,0.4,9,,1,1
TBV,1,0.5,9,2,3,1
TBV,2,0.4,7,,0,1
TBV,3,0.5,15,,4,1
TBV,4,0.7,24,2,8,1
TBV,5,0.3,5.5,1,2,1
TBV,6,0.5,11,,1,1
TBM,1,0.7,6,,0,1
TBM,2,0.5,9,0,3,1
TBM,3,0.5,6,,2,1
TBM,4,0.8,36,3,9,1
TBM,5,0.4,6,,2,1
TBM,6,0.4,5,,2,1
TBM,7,0.5,13,,4,1
TBM,8,0.6,8.5,,2,1
TBM,9,0.5,5.5,,3,1
TTC,1,0.5,15,,4,2
TTC,2,0.45,12,,2,2
TTC,3,1,26,2,10,2
TTC,4,0.5,16,,4,2
TTC,5,0.7,24.5,2,9,2
TTC,6,0.6,11,,2,2
TTV,1,0.7,31,,9,2
TTV,2,0.5,9,,6,2
TTV,3,0.5,9.5,1,5,2
TTV,4,0.6,10,,2,2
TTV,5,0.4,6,,1,2
TTV,6,0.6,19,2,8,2
TTV,7,0.3,3,1,2,2
TTV,8,0.5,5.5,1,3,2
TTV,9,0.6,8,,3,2
TTV,10,0.5,7.5,,3,2
TTV,11,0.5,10,,2,2
TBV,1,0.5,10,2,6,2
TBV,2,0.4,8,,1,2
TBV,3,0.5,16,1,6,2
TBV,4,0.7,26,2,12,2
TBV,5,0.5,7,1,4,2
TBV,6,0.6,12,1,2,2
TBM,1,0.7,8.5,,1,2
TBM,2,0.6,13,0,5,2
TBM,3,0.6,8,,2,2
TBM,4,1,36,3,11,2
TBM,5,0.6,9,,2,2
TBM,6,0.5,7,,3,2
TBM,7,0.6,18,,6,2
TBM,8,0.6,13,,3,2
TBM,9,0.6,8,,4,2
TTC,1,0.6,16,,6,3
TTC,2,0.5,13,,2,3
TTC,3,1,28,2,12,3
TTC,4,0.7,14,1,6,3
TTC,5,0.5,16,,5,3
TTC,6,0.70,27,2,11,3
TTC,7,0.6,11,,2,3
TTV,1,0.7,39,,11,3
TTV,2,0.5,10,,7,3
TTV,3,0.5,10,1,6,3
TTV,4,0.7,12,,3,3
TTV,5,0.4,7,,2,3
TTV,6,0.6,21,2,10,3
TTV,7,0.3,4,1,4,3
TTV,8,0.5,6,1,4,3
TTV,9,0.6,10,,4,3
TTV,10,0.6,11,,5,3
TTV,11,0.5,10,,2,3
TBV,1,0.6,13,2,7,3
TBV,2,0.4,9,,2,3
TBV,3,0.5,19,1,7,3
TBV,4,0.7,27,2,8,3
TBV,5,0.6,9,1,4,3
TBV,6,0.6,12,1,2,3
TBM,1,0.7,10,,2,3
TBM,2,0.7,15,0,4,3
TBM,3,0.6,14,,5,3
TBM,4,1,38,3,9,3
TBM,5,0.7,12,,5,3
TBM,6,0.6,10,,3,3
TBM,7,0.6,20,,7,3
TBM,8,0.7,19,,5,3
TBM,9,0.7,10,,4,3
TTC,1,0.6,16,,7,4
TTC,2,0.5,15,,3,4
TTC,3,1,30,2,14,4
TTC,4,0.8,16,2,7,4
TTC,5,0.5,16,,6,4
TTC,6,0.7,30,2,13,4
TTC,7,0.6,12,1,2,4
TTV,1,0.8,45,,13,4
TTV,2,0.6,11,2,7,4
TTV,3,0.6,10,1,7,4
TTV,4,0.8,13,,4,4
TTV,5,0.4,7,,6,4
TTV,6,0.6,24,2,12,4
TTV,7,0.4,5,1,4,4
TTV,8,0.5,7,1,5,4
TTV,9,0.6,12,1,6,4
TTV,10,0.7,15,2,7,4
TTV,11,0.5,10,,2,4
TBV,1,0.6,16,2,9,4
TBV,2,0.4,10,,2,4
TBV,3,0.5,23,1,8,4
TBV,4,0.8,33,2,7,4
TBV,5,0.6,12,1,6,4
TBV,6,0.65,13,1,3,4
TBM,1,0.7,13,,4,4
TBM,2,0.8,18,,4,4
TBM,3,0.6,20,,7,4
TBM,4,1,38,3,5,4
TBM,5,0.9,15,1,9,4
TBM,6,0.6,15,1,4,4
TBM,7,0.6,25,2,9,4
TBM,8,0.8,24,,7,4
TBM,9,0.8,13,,4,4
TTC,1,0.7,17,,7,5
TTC,2,0.7,18,,8,5
TTC,3,0.5,18,,5,5
TTC,4,1,34.5,3,15,5
TTC,5,0.7,18,2,9,5
TTC,6,0.65,17,,7,5
TTC,7,0.9,33,2,14,5
TTC,8,0.6,12,1,2,5
TTV,1,1.2,53,4,16,5
TTV,2,0.7,13,2,9,5
TTV,3,0.7,13,1,8,5
TTV,4,0.8,16,,6,5
TTV,5,0.5,8,,2,5
TTV,6,0.7,27,2,13,5
TTV,7,0.4,7,1,5,5
TTV,8,0.65,9,1,6,5
TTV,9,0.6,14.5,2,8,5
TTV,10,0.8,21,2,8,5
TTV,11,0.5,10,,2,5
TBV,1,0.7,18,2,9,5
TBV,2,0.5,11,,4,5
TBV,3,0.6,25,1,10,5
TBV,4,1,42,6,10,5
TBV,5,0.7,16,3,9,5
TBV,6,0.8,19,2,5,5
TBM,1,0.8,19,,7,5
TBM,2,0.8,23,,7,5
TBM,3,0.75,25,,8,5
TBM,4,1.2,40,6,8,5
TBM,5,1,19.5,1,11,5
TBM,6,0.75,19.5,3,7,5
TBM,7,0.8,25,2,10,5
TBM,8,1,30,3,9,5
TBM,9,0.95,17,,9,5
