Tratamiento,Apariencia,Olor,Sabor,Textura,Sensación en boca
T1,10,10,7,3,5
T1,10,9,8,6,8
T1,10,9.5,9,10,9
T1,9,8,8.5,8.5,9
T1,9,8.8,9,6,9
T1,7,7,5.5,7,6.5
T1,10,8,10,8,10
T1,10,9,8,8,9
T1,8.5,5,6,5,6
T1,9.8,7.5,8,9.5,8.5
T1,10,6.5,9,8.5,6
T1,9.3,9.5,9.5,6,6
T1,10,10,10,10,10
T1,8.5,6,7.5,5.5,8
T1,10,10,5,10,10
T1,9,9,9,9,9
T1,5,8,8,10,10
T2,10,4,9,10,8
T2,9.5,9,7.5,9,7.5
T2,10,10,5.5,7,7
T2,8,8,7.5,7,8
T2,6.5,4,4,4,2.5
T2,7,6,5.5,5,5
T2,10,6,8,10,10
T2,10,8,8,8,8
T2,5,5,5,7,6
T2,9.8,8,9.9,8.8,8.8
T2,8.5,5.5,8.5,7,7
T2,9.5,9.5,9.5,9.5,9.5
T2,10,5,8,10,7
T2,6.5,5,6.5,7,7.5
T2,10,10,5,10,5
T2,9,4,8,8,8
T2,9,9,8.5,10,10
T3,10,3,7,10,5
T3,10,6,2,3,4
T3,10,10,7,7,7
T3,9,9,8,8.5,7
T3,10,8,7,7.5,6
T3,8,5.5,6.5,7,6
T3,8,7,8,10,10
T3,6,7,7,7,7
T3,7.5,5,7.5,6.5,6.5
T3,10,7.5,8,8,7.5
T3,10,6.5,8,6.5,8
T3,9.5,9.5,5.5,7,8
T3,10,8,9,10,8
T3,7.5,5.5,4,6,6
T3,5,5,5,5,5
T3,8,9.7,6.5,9,9.8
T3,10,10,9,10,10
