Hora del año,Velocidad medida del viento (m/s)
1,8.67
2,8.37
3,6.83
4,7.1
5,8.04
6,5.31
7,7.25
8,7.82
9,9.32
10,9.56
11,10.36
12,11.91
13,10.66
14,9.76
15,11.34
16,10.42
17,11.33
18,10.47
19,11.06
20,11.88
21,9.22
22,8.4
23,8.86
24,7.53
25,6.96
26,5.09
27,5.65
28,6.53
29,5.96
30,6.08
31,7.24
32,8.69
33,9.13
34,9.64
35,11.67
36,10.29
37,9.76
38,12.48
39,12.51
40,11.49
41,12.81
42,12.31
43,10.57
44,10.81
45,11.39
46,9.17
47,7.03
48,8
49,5.98
50,5.07
51,5.66
52,6.29
53,5.39
54,7.27
55,6.94
56,6.85
57,8.62
58,7.65
59,6.93
60,5.49
61,5.14
62,6.37
63,6.33
64,5.09
65,3.77
66,3.08
67,4.15
68,3.31
69,4.01
70,5.76
71,6
72,5.69
73,6.49
74,8.02
75,9.53
76,9.11
77,8.12
78,8.01
79,7.87
80,5.79
81,7.41
82,9.42
83,9
84,9.26
85,9.19
86,7.52
87,6.32
88,6.3
89,7.56
90,8.97
91,10.83
92,11.44
93,8.8
94,7.29
95,6.59
96,8.11
97,6.97
98,4.97
99,4.63
100,4.59
101,5.78
102,5.31
103,6.11
104,5.81
105,6.21
106,5.9
107,6.98
108,7.75
109,8.13
110,6.47
111,7.14
112,7.45
113,6.36
114,8.25
115,8.85
116,7.38
117,7.56
118,6.86
119,6.22
120,7.76
121,6.35
122,6.69
123,8.21
124,5.63
125,5.74
126,4.25
127,4.66
128,4.12
129,3.79
130,3.86
131,3.03
132,2.09
133,2.49
134,3.45
135,2.43
136,2.83
137,3.42
138,4.66
139,3.69
140,2.69
141,2.8
142,2.66
143,2.07
144,1.77
145,2.42
146,4.01
147,4.72
148,5.55
149,6.92
150,8.43
151,8.92
152,8.44
153,6.85
154,5.61
155,5.25
156,7.3
157,8.67
158,8.24
159,6.61
160,6.52
161,6.44
162,7.12
163,7.25
164,7.3
165,5.34
166,5.57
167,4.93
168,6.4
169,6.61
170,6.28
171,5.13
172,5.04
173,4.23
174,4.37
175,4.91
176,5.36
177,5.52
178,4.71
179,3.64
180,4.35
181,5.13
182,4.31
183,5.42
184,7.44
185,7.98
186,8.04
187,8.04
188,6.71
189,6.87
190,8.31
191,9.17
192,8.47
193,9.18
194,11.41
195,12.43
196,12.11
197,10.81
198,8.13
199,7.4
200,8.09
201,7.67
202,6.6
203,5.9
204,7.76
205,8.22
206,8.88
207,10.61
208,11.21
209,9.44
210,9.17
211,12.38
212,12.5
213,11.28
214,11.74
215,11.34
216,11.67
217,10.42
218,11.75
219,10.58
220,11.16
221,11.65
222,12.98
223,9.87
224,8.36
225,6.84
226,6.3
227,4.81
228,7.13
229,7.13
230,7.7
231,9.13
232,10.02
233,10.4
234,13.26
235,13.46
236,12.44
237,13.12
238,12.2
239,13.75
240,14.69
241,13.17
242,13.87
243,14.17
244,17.98
245,19.24
246,20.28
247,17.04
248,15.61
249,17.14
250,18.39
251,17.65
252,17.44
253,16.14
254,14.19
255,14.89
256,13
257,12.04
258,12.2
259,14.1
260,12.74
261,13.68
262,13.98
263,15.18
264,15.19
265,17.7
266,16.25
267,14.32
268,15.04
269,13.33
270,10.2
271,12.48
272,11.36
273,10.08
274,9.33
275,8.94
276,9.56
277,10.76
278,9.9
279,9.93
280,11.74
281,14.58
282,13.5
283,15.52
284,15.34
285,15.48
286,12.64
287,9.61
288,9.69
289,9.57
290,8.75
291,10.06
292,11.54
293,8.8
294,8.46
295,6.67
296,6.74
297,8.01
298,10.83
299,10.09
300,10.82
301,11.34
302,12.84
303,12.77
304,13.53
305,14.97
306,13.33
307,10.79
308,11.01
309,10.41
310,12.69
311,11.99
312,12.38
313,10.53
314,11.7
315,12.92
316,12.98
317,12.06
318,10.9
319,12.19
320,9.98
321,9.86
322,8.77
323,8.86
324,8.33
325,9.35
326,10.43
327,12.05
328,10.58
329,9.36
330,7.92
331,8.48
332,7.59
333,6.96
334,5.25
335,6.54
336,8.1
337,8.58
338,8.26
339,8.97
340,8.95
341,7.09
342,6.7
343,7.3
344,6.12
345,5.77
346,4.21
347,3.78
348,4.42
349,4.89
350,5.47
351,4.68
352,4.77
353,4.51
354,5.52
355,6.35
356,7.75
357,8.56
358,7.96
359,7.37
360,6.71
361,7.66
362,7.4
363,6.22
364,6.17
365,6.08
366,7.12
367,8.08
368,7.57
369,8.38
370,9.83
371,10.6
372,11.59
373,10.98
374,9.73
375,8.51
376,8.35
377,8.26
378,7.57
379,9.08
380,9.01
381,7.96
382,7.61
383,4.83
384,4.62
385,5.47
386,7.57
387,8.56
388,7.19
389,6.98
390,6
391,7.54
392,7.72
393,7.06
394,8.5
395,9.33
396,11.99
397,12.73
398,14.16
399,15.09
400,15.96
401,17.03
402,16.58
403,15.5
404,16.44
405,18.64
406,19.27
407,19.05
408,18.32
409,18.36
410,17.31
411,14.37
412,14.81
413,14.32
414,15.04
415,12.73
416,12.9
417,12.98
418,11.84
419,14.22
420,13.37
421,14.32
422,16.44
423,15.46
424,15.98
425,15.79
